Id,Latitude,Longitude
,,
9C47,-33.012123,27.899988
,,
4B0E,-33.036249,27.844285
,,
4A54,-32.969588,27.939134
,,
49B9,-32.97358,27.898781
,,
5912,-33.924231,25.591597
,,
497A,-33.97728,25.598595
,,
4982,-32.994965,26.266908
,,
51FB,-32.201994,28.241082
,,
43CF,-31.914368,28.731281
,,
43FB,-31.670726,29.178173
,,
43F8,-32.081968,27.949907
,,
43F7,-33.046432,27.593058
,,
59E9,-32.146417,28.503443
,,
4A15,-33.989142,25.666184
,,
50B6,-32.755988,27.659371
,,
944F,-30.970336,29.987701
,,
497D,-32.639252,28.18112
,,
5012,-34.002065,25.531613
,,
A741,-33.500259,26.858821
,,
58F1,-30.967893,27.595781
,,
5257,-33.906642,25.546005
,,
501F,-32.445384,27.992589
,,
49B6,-30.926031,28.982552
,,
4A12,-32.933953,27.995663
,,
5052,-33.842498,25.536651
,,
83E9,-33.154224,27.626309
,,
43DF,-33.586792,26.910369
,,
4BBA,-33.945626,25.512732
,,
58EC,-31.874926,26.824145
,,
83E5,-31.638598,27.25882
,,
DD9E,-31.361373,27.067609
,,
58F0,-31.732615,26.784029
,,
51D6,-31.998863,27.600125
,,
5313,-31.560194,28.39816
,,
49DD,-32.020611,27.80365
,,
44D6,-31.655808,28.009246
,,
4AFD,-31.31996,27.762595
,,
455F,-33.768375,25.397916
,,
4A69,-31.219292,28.195073
,,
4B18,-30.703109,27.275062
,,
59BF,-31.596986,28.743104
,,
75C8,-31.505332,27.668445
,,
756E,-31.497307,24.98969
,,
4B10,-31.406653,26.41204
,,
50BD,-33.737617,25.376702
,,
A6A8,-32.562277,27.447209
,,
4A2D,-33.802917,25.589475
,,
44AC,-32.957064,27.722369
,,
A790,-33.783198,25.420915
,,
DB6F,-31.446956,27.327247
,,
9F99,-31.541724,27.001484
,,
7570,-31.682162,25.81768
,,
8F59,-31.422542,28.772117
,,
4A01,-32.830284,27.200029
,,
57F0,-32.991051,27.820308
,,
58F9,-32.981328,27.865965
,,
4B40,-33.006232,27.874269
,,
507B,-33.7556,25.4187
,,
4AFC,-33.018272,27.857457
,,
A740,-32.990925,27.924003
,,
9772,-33.117405,27.709968
,,
5079,-33.175959,26.393828
,,
4FFE,-33.814054,25.458289
,,
71A4,-33.937281,25.023151
,,
43CD,-34.032537,24.759625
,,
4A16,-33.290201,26.552634
,,
DD9F,-33.759981,24.828374
,,
A70A,-33.807043,25.646199
,,
9BEA,-33.947538,25.557892
,,
A6FF,-33.375785,25.431338
,,
A710,-33.542997,25.654894
,,
9C9C,-33.328291,26.501613
,,
A1E8,-33.318504,26.528605
,,
A10F,-32.712908,25.577329
,,
A13F,-32.655484,26.049945
,,
9DAB,-32.691608,26.343989
,,
9B93,-32.793845,26.837103
,,
845E,-31.604527,28.777282
,,
A193,-32.680413,27.259915
,,
977A,-33.000417,27.906725
,,
9F3A,-33.210702,27.119418
,,
A172,-33.820863,23.871643
,,
5240,-31.588862,28.786225
,,
9C3D,-30.268963,28.792921
,,
99BC,-32.848798,27.967745
,,
9F38,-32.814993,28.115702
,,
9F32,-32.699037,28.355185
,,
99BA,-32.939353,24.667459
,,
A778,-33.144265,27.677137
,,
9CED,-31.569103,26.527076
,,
9F69,-33.039292,27.833613
,,
96B9,-33.879495,25.559797
,,
9F9C,-33.963195,25.609862
,,
9D44,-32.263089,25.742034
,,
A17D,-33.291688,23.495798
,,
A1F2,-31.993426,26.27214
,,
9AD5,-32.507487,25.245998
,,
9D45,-33.811571,24.887548
,,
4A9C,-32.993645,27.852753
,,
44A2,-34.042885,24.92111
,,
A795,-31.0666,28.3428
,,
A794,-31.2883,25.8135
,,
533A,-30.712482,26.705769
,,
A930,-34.024291,24.915501
,,
A75D,-33.68117,26.666318
,,
A6A0,-33.797909,25.478723
,,
A7D3,-33.94452,25.49422
,,
A6A5,-32.959266,27.896899
,,
A7B9,-33.862247,25.599413
,,
A6AC,-33.65847,26.410791
,,
A6F1,-31.622493,29.545114
,,
A7D7,-32.262858,24.548112
,,
A66B,-32.802573,26.822598
,,
DBD3,-32.726766,25.60747
,,
44B2,-34.172973,24.81934
,,
A7D1,-32.962853,27.662277
,,
DDAA,-32.099778,28.304889
,,
C08B,-30.527827,27.371174
,,
A7D5,-33.967853,25.440927
,,
A7D9,-33.832592,25.395931
,,
457C,-33.98237,25.56289
,,
A6AA,-33.536965,26.069495
,,
A1C6,-33.97987,25.523022
,,
A770,-32.940828,28.024604
,,
49AD,-32.947133,27.978225
,,
43EC,-32.94259,27.700869
,,
5973,-33.006242,27.858414
,,
534F,-32.940128,28.007236
,,
508A,-33.647232,25.877277
,,
5268,-32.983269,27.903913
,,
DD92,-33.017813,27.918338
,,
A6AE,-33.037732,27.875504
,,
C0B0,-32.953069,27.94498
,,
9F66,-32.942341,27.947724
,,
DD99,-32.924892,28.038999
,,
6D2B,-33.200737,27.613286
,,
C080,-33.097763,27.781391
,,
A178,-32.987691,27.941816
,,
8C9D,-33.071543,27.832183
,,
A1EC,-32.932487,27.730369
,,
727A,-32.98106,27.88485
,,
75E4,-32.99593,27.89407
,,
58FA,-32.886514,27.539362
,,
8D98,-33.010186,27.83805
,,
71A7,-32.923158,27.68897
,,
4FFD,-33.370341,26.471202
,,
44BB,-33.286947,26.706736
,,
4A20,-33.280055,26.840052
,,
5905,-33.035842,27.226602
,,
457D,-30.836902,29.398183
,,
522D,-30.83713,29.147918
,,
49AF,-32.339706,28.166853
,,
5032,-32.77367,27.931152
,,
5046,-32.42112,27.250195
,,
44A6,-31.565373,26.650778
,,
7DA3,-31.114943,26.821392
,,
5031,-33.886423,25.263912
,,
43EB,-34.02503,24.429696
,,
93AA,-33.975229,23.809572
,,
4BB8,-32.164736,25.630079
,,
58FB,-32.692588,25.815441
,,
E041,-33.316598,25.946201
,,
DBB2,-31.692366,25.179519
,,
5945,-32.240196,24.533368
,,
4485,-32.488847,24.054002
,,
A73A,-33.071146,23.481172
,,
49B0,-31.902627,26.942231
,,
500B,-32.008113,27.003765
,,
4483,-32.280987,27.141189
,,
73E1,-33.327759,26.49762
,,
A1E7,-32.567674,27.42752
,,
DB6B,-31.557104,28.677663
,,
9F98,-30.34729,28.809672
,,
9C9D,-31.085522,28.364525
,,
4A14,-32.765548,26.657509
,,
43ED,-31.159354,28.955336
,,
5248,-31.366442,29.572839
,,
520B,-31.081861,29.494615
,,
A796,-30.870845,29.839117
,,
590B,-31.000608,26.338679
,,
5016,-33.029933,27.887286
,,
44B5,-32.940162,27.758393
,,
4A09,-32.909964,27.756792
,,
50AA,-33.010143,27.892244
,,
50B3,-33.810838,25.368247
,,
50B8,-33.861677,25.508116
,,
57E9,-32.919725,27.420659
,,
4B08,-32.76545,27.160645
,,
A6A6,-32.851369,27.436483
,,
43F2,-33.649011,25.590165
,,
44B9,-32.20006,26.81255
,,
5217,-33.013101,27.91658
,,
A785,-32.949314,27.783372
,,
C07B,-32.884467,27.388561
,,
DDAE,-27.97991,26.732008
,,
DD95,-27.962908,26.798961
,,
44DB,-28.081688,26.881899
,,
49E8,-27.21362,27.500784
,,
5042,-26.864694,27.872154
,,
5226,-29.082178,26.220906
,,
4A25,-28.089745,27.138175
,,
4A1B,-27.261449,28.507698
,,
5092,-27.651079,27.197773
,,
DB6D,-27.136517,26.722086
,,
845F,-28.142301,26.896173
,,
75CD,-29.157634,26.270858
,,
847C,-28.304383,28.711875
,,
97A0,-27.969341,26.835737
,,
9C31,-26.775525,27.844134
,,
9F5F,-29.741737,25.943295
,,
A136,-29.146054,26.156864
,,
A189,-28.944839,27.060313
,,
9F53,-28.636452,27.410921
,,
A140,-27.211391,26.927287
,,
9F31,-28.492591,28.422361
,,
A72B,-29.159092,26.194505
,,
A192,-29.106562,25.411243
,,
9C45,-28.913343,27.567197
,,
978A,-27.385313,26.611843
,,
9FAE,-29.409098,24.994951
,,
8464,-28.322891,27.626325
,,
9FA9,-28.280697,26.143547
,,
A72D,-28.4844,28.8259
,,
A739,-30.270807,25.767178
,,
A77B,-26.926289,27.47664
,,
A7F8,-27.277122,28.494986
,,
DB79,-27.978324,26.773022
,,
A711,-27.802218,28.417909
,,
4462,-28.516726,27.0133
,,
DBAC,-27.85609,28.96417
,,
9C4A,-29.116455,26.184141
,,
DBB8,-27.555238,27.673872
,,
A72A,-29.748341,25.315082
,,
A7A5,-30.264356,25.274556
,,
44B4,-28.504479,27.933842
,,
A65A,-30.299872,27.081158
,,
A7FD,-27.67847,29.564698
,,
449B,-30.495074,25.97373
,,
7CDC,-29.645498,26.181893
,,
A6E8,-28.12788,25.503469
,,
4B22,-28.672501,25.766483
,,
9FE6,-29.102018,26.22818
,,
4ADC,-27.554492,28.516969
,,
890D,-26.889904,28.096649
,,
DBB0,-29.136807,26.239621
,,
E034,-27.9621,26.739116
,,
A654,-29.0907,26.2754
,,
843B,-29.58155,26.664849
,,
A18F,-28.5219,28.423
,,
4A71,-29.172202,26.221055
,,
93A2,-28.4908,28.19097
,,
C089,-28.002748,28.33546100000001
,,
A798,-28.108625631088287,27.979755699634552
,,
9BE6,-27.873167,26.669194
,,
DBAB,-29.996062,25.808066
,,
497F,-27.49204,28.857282
,,
5227,-28.253791,29.107517
,,
